locus_tag	ftype	length_bp	gene	EC_number	COG	product
LEMGDAED_00085	CDS	294				hypothetical protein
LEMGDAED_00086	CDS	282	livF_1		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
LEMGDAED_00087	CDS	789				hypothetical protein
LEMGDAED_00088	CDS	354				hypothetical protein
LEMGDAED_00089	CDS	273				hypothetical protein
LEMGDAED_00090	CDS	138				hypothetical protein
LEMGDAED_00091	CDS	246				hypothetical protein
LEMGDAED_00092	CDS	186				hypothetical protein
LEMGDAED_00093	CDS	909	hdfR_1			HTH-type transcriptional regulator HdfR
LEMGDAED_00094	CDS	243				hypothetical protein
LEMGDAED_00095	CDS	591				hypothetical protein
LEMGDAED_00096	CDS	609				hypothetical protein
LEMGDAED_00097	CDS	366				hypothetical protein
LEMGDAED_00098	CDS	255				hypothetical protein
LEMGDAED_00099	CDS	432				hypothetical protein
LEMGDAED_00100	CDS	423				hypothetical protein
LEMGDAED_00101	CDS	801	recD2_1	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
LEMGDAED_00102	CDS	420				hypothetical protein
LEMGDAED_00103	CDS	579				hypothetical protein
LEMGDAED_00104	CDS	249				hypothetical protein
LEMGDAED_00105	CDS	315	tipA			HTH-type transcriptional activator TipA
LEMGDAED_00106	CDS	1248				hypothetical protein
LEMGDAED_00107	CDS	231				hypothetical protein
LEMGDAED_00108	CDS	702				hypothetical protein
LEMGDAED_00109	CDS	99				hypothetical protein
LEMGDAED_00110	CDS	606				hypothetical protein
LEMGDAED_00111	CDS	387				hypothetical protein
LEMGDAED_00112	CDS	90				hypothetical protein
LEMGDAED_00113	CDS	570				hypothetical protein
LEMGDAED_00114	CDS	534			COG1638	Solute-binding protein
LEMGDAED_00115	CDS	444	mcd_1	1.3.8.12	COG1960	(2S)-methylsuccinyl-CoA dehydrogenase
LEMGDAED_00116	CDS	327				hypothetical protein
LEMGDAED_00117	CDS	579				hypothetical protein
LEMGDAED_00118	CDS	162				hypothetical protein
LEMGDAED_00119	CDS	327				hypothetical protein
LEMGDAED_00120	CDS	924				hypothetical protein
LEMGDAED_00121	CDS	999				hypothetical protein
LEMGDAED_00122	CDS	582				hypothetical protein
LEMGDAED_00123	CDS	636				hypothetical protein
LEMGDAED_00124	CDS	153				hypothetical protein
LEMGDAED_00125	CDS	441	osmW		COG1174	Osmoprotectant import permease protein OsmW
LEMGDAED_00126	CDS	852				hypothetical protein
LEMGDAED_00127	CDS	288				hypothetical protein
LEMGDAED_00128	CDS	498				hypothetical protein
LEMGDAED_00129	CDS	291				hypothetical protein
LEMGDAED_00130	CDS	294				hypothetical protein
LEMGDAED_00131	CDS	600	cyoC		COG1845	Cytochrome bo(3) ubiquinol oxidase subunit 3
LEMGDAED_00132	CDS	357				hypothetical protein
LEMGDAED_00133	CDS	288				hypothetical protein
LEMGDAED_00134	CDS	555				hypothetical protein
LEMGDAED_00135	CDS	1836				hypothetical protein
LEMGDAED_00136	CDS	822	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
LEMGDAED_00137	CDS	216				hypothetical protein
LEMGDAED_00138	CDS	882				hypothetical protein
LEMGDAED_00139	CDS	855	phnE_1		COG3639	Phosphate-import permease protein PhnE
LEMGDAED_00140	CDS	312				hypothetical protein
LEMGDAED_00141	CDS	750			COG1638	putative protein
LEMGDAED_00142	CDS	351				hypothetical protein
LEMGDAED_00143	CDS	966	prfB_1		COG1186	Peptide chain release factor RF2
LEMGDAED_00144	CDS	387				hypothetical protein
LEMGDAED_00145	CDS	435	flgI_1			Flagellar P-ring protein
LEMGDAED_00146	CDS	225				hypothetical protein
LEMGDAED_00147	CDS	792	torD			Chaperone protein TorD
LEMGDAED_00148	CDS	243				hypothetical protein
LEMGDAED_00149	CDS	372				hypothetical protein
LEMGDAED_00150	CDS	246				hypothetical protein
LEMGDAED_00151	CDS	231				hypothetical protein
LEMGDAED_00152	CDS	132				hypothetical protein
LEMGDAED_00153	CDS	318				hypothetical protein
LEMGDAED_00154	CDS	987	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
LEMGDAED_00155	CDS	351	dppD_1		COG0444	Dipeptide transport ATP-binding protein DppD
LEMGDAED_00156	CDS	180				hypothetical protein
LEMGDAED_00157	CDS	612				hypothetical protein
LEMGDAED_00158	CDS	162				hypothetical protein
LEMGDAED_00159	CDS	396				hypothetical protein
LEMGDAED_00160	CDS	99				hypothetical protein
LEMGDAED_00161	CDS	303				hypothetical protein
LEMGDAED_00162	CDS	435				hypothetical protein
LEMGDAED_00163	CDS	270				hypothetical protein
LEMGDAED_00164	CDS	291				hypothetical protein
LEMGDAED_00165	CDS	507	dnaC	3.6.4.12	COG0305	Replicative DNA helicase
LEMGDAED_00166	CDS	1389				hypothetical protein
LEMGDAED_00167	CDS	1149	ybdL	2.6.1.88	COG0436	Methionine aminotransferase
LEMGDAED_00168	CDS	744	iolS	1.1.1.-	COG0667	Aldo-keto reductase IolS
LEMGDAED_00169	CDS	327				hypothetical protein
LEMGDAED_00170	CDS	234				hypothetical protein
LEMGDAED_00171	CDS	810		4.2.1.17	COG1024	putative enoyl-CoA hydratase echA12
LEMGDAED_00172	CDS	672	kstR2_1			HTH-type transcriptional repressor KstR2
LEMGDAED_00173	CDS	789	ydcV_1			Inner membrane ABC transporter permease protein YdcV
LEMGDAED_00174	CDS	834	potH_1		COG1176	Putrescine transport system permease protein PotH
LEMGDAED_00175	CDS	768				hypothetical protein
LEMGDAED_00176	CDS	462				hypothetical protein
LEMGDAED_00177	CDS	225				hypothetical protein
LEMGDAED_00178	CDS	267	murI_1	5.1.1.3		Glutamate racemase
LEMGDAED_00179	CDS	342				hypothetical protein
LEMGDAED_00180	CDS	237				hypothetical protein
LEMGDAED_00181	CDS	408	groL2		COG0459	60 kDa chaperonin 2
LEMGDAED_00182	CDS	108				hypothetical protein
LEMGDAED_00183	CDS	207				hypothetical protein
LEMGDAED_00184	CDS	1317				hypothetical protein
LEMGDAED_00185	CDS	498	cat_1	2.3.1.28	COG0110	Chloramphenicol acetyltransferase
LEMGDAED_00186	CDS	1233	argG_1	6.3.4.5	COG0137	Argininosuccinate synthase
LEMGDAED_00187	CDS	189				hypothetical protein
LEMGDAED_00188	CDS	429	petE_1			Plastocyanin
LEMGDAED_00189	CDS	282				hypothetical protein
LEMGDAED_00190	CDS	378				hypothetical protein
LEMGDAED_00191	CDS	1026	yhdW_1			Putative amino-acid ABC transporter-binding protein YhdW
LEMGDAED_00192	CDS	603				hypothetical protein
LEMGDAED_00193	CDS	300				hypothetical protein
LEMGDAED_00194	CDS	225				hypothetical protein
LEMGDAED_00195	CDS	567				hypothetical protein
LEMGDAED_00196	CDS	783				hypothetical protein
LEMGDAED_00197	CDS	315				hypothetical protein
LEMGDAED_00198	CDS	570	kgtP			Alpha-ketoglutarate permease
LEMGDAED_00199	CDS	672	ycjU	5.4.2.6	COG0637	Beta-phosphoglucomutase
LEMGDAED_00200	CDS	240	ompR_1			Transcriptional regulatory protein OmpR
LEMGDAED_00201	CDS	141				hypothetical protein
LEMGDAED_00202	CDS	321				hypothetical protein
LEMGDAED_00203	CDS	1002				hypothetical protein
LEMGDAED_00204	CDS	174	takP_1		COG4663	Alpha-keto acid-binding periplasmic protein TakP
LEMGDAED_00205	CDS	525				hypothetical protein
LEMGDAED_00206	CDS	606	davD_1	1.2.1.-	COG1012	Glutarate-semialdehyde dehydrogenase
LEMGDAED_00207	CDS	528				hypothetical protein
LEMGDAED_00208	CDS	156				hypothetical protein
LEMGDAED_00209	CDS	165				hypothetical protein
LEMGDAED_00210	CDS	201				hypothetical protein
LEMGDAED_00211	CDS	600	yggS_1		COG0325	Pyridoxal phosphate homeostasis protein
LEMGDAED_00212	CDS	288				hypothetical protein
LEMGDAED_00213	CDS	297	accB_1		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
LEMGDAED_00214	CDS	213				hypothetical protein
LEMGDAED_00215	CDS	714				hypothetical protein
LEMGDAED_00216	CDS	219				hypothetical protein
LEMGDAED_00217	CDS	108				hypothetical protein
LEMGDAED_00218	CDS	522	rfbA	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 1
LEMGDAED_00219	CDS	114				hypothetical protein
LEMGDAED_00220	CDS	240				hypothetical protein
LEMGDAED_00221	CDS	162	glyS_1	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
LEMGDAED_00222	CDS	369				hypothetical protein
LEMGDAED_00223	CDS	474	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
LEMGDAED_00224	CDS	927				hypothetical protein
LEMGDAED_00225	CDS	264				hypothetical protein
LEMGDAED_00226	CDS	225				hypothetical protein
LEMGDAED_00227	CDS	126				hypothetical protein
LEMGDAED_00228	CDS	1167		6.3.2.2	COG2170	Putative glutamate--cysteine ligase 2
LEMGDAED_00229	CDS	1140	glyA_1	2.1.2.1		Serine hydroxymethyltransferase
LEMGDAED_00230	CDS	531				hypothetical protein
LEMGDAED_00231	CDS	210				hypothetical protein
LEMGDAED_00232	CDS	513	fabA	4.2.1.59	COG0764	3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
LEMGDAED_00233	CDS	219				hypothetical protein
LEMGDAED_00234	CDS	366				hypothetical protein
LEMGDAED_00235	CDS	561	lcdH_1	1.1.1.108		L-carnitine dehydrogenase
LEMGDAED_00236	CDS	504	ftsH_1	3.4.24.-		ATP-dependent zinc metalloprotease FtsH
LEMGDAED_00237	CDS	171				hypothetical protein
LEMGDAED_00238	CDS	444	clsA	2.7.8.-	COG1502	Cardiolipin synthase A
LEMGDAED_00239	CDS	300				hypothetical protein
LEMGDAED_00240	CDS	1182				hypothetical protein
LEMGDAED_00241	CDS	354				hypothetical protein
LEMGDAED_00242	CDS	588	rimP_1			Ribosome maturation factor RimP
LEMGDAED_00243	CDS	195	secE			Protein translocase subunit SecE
LEMGDAED_00244	CDS	279				hypothetical protein
LEMGDAED_00245	CDS	747				hypothetical protein
LEMGDAED_00246	CDS	138				hypothetical protein
LEMGDAED_00247	CDS	843	mdoH_1	2.4.1.-	COG2943	Glucans biosynthesis glucosyltransferase H
LEMGDAED_00248	CDS	165				hypothetical protein
LEMGDAED_00249	CDS	270				hypothetical protein
LEMGDAED_00250	CDS	636				hypothetical protein
LEMGDAED_00251	CDS	690				hypothetical protein
LEMGDAED_00252	CDS	261	proA_1	4.1.3.16		4-hydroxy-4-methyl-2-oxoglutarate aldolase/4-carboxy-4-hydroxy-2-oxoadipate aldolase
LEMGDAED_00253	CDS	393	ahpD_1	1.11.1.15		Alkyl hydroperoxide reductase AhpD
LEMGDAED_00254	CDS	183				hypothetical protein
LEMGDAED_00255	CDS	372				hypothetical protein
LEMGDAED_00256	CDS	369				hypothetical protein
LEMGDAED_00257	CDS	438	paaG_1	5.3.3.18	COG1024	1,2-epoxyphenylacetyl-CoA isomerase
LEMGDAED_00258	CDS	426				hypothetical protein
LEMGDAED_00259	CDS	951				hypothetical protein
LEMGDAED_00260	CDS	114				hypothetical protein
LEMGDAED_00261	CDS	540				hypothetical protein
LEMGDAED_00262	CDS	396				hypothetical protein
LEMGDAED_00263	CDS	147	ibpB			Small heat shock protein IbpB
LEMGDAED_00264	CDS	216				hypothetical protein
LEMGDAED_00265	CDS	237				hypothetical protein
LEMGDAED_00266	CDS	210				hypothetical protein
LEMGDAED_00267	CDS	567	gmhA_1	5.3.1.28	COG0279	Phosphoheptose isomerase
LEMGDAED_00268	CDS	288				hypothetical protein
LEMGDAED_00269	CDS	576				hypothetical protein
LEMGDAED_00270	CDS	237				hypothetical protein
LEMGDAED_00271	CDS	534	gluD	1.4.1.2		NAD-specific glutamate dehydrogenase
LEMGDAED_00272	CDS	234				hypothetical protein
LEMGDAED_00273	CDS	264				hypothetical protein
LEMGDAED_00274	CDS	171	mutL_1			DNA mismatch repair protein MutL
LEMGDAED_00275	CDS	312				hypothetical protein
LEMGDAED_00276	CDS	681				hypothetical protein
LEMGDAED_00277	CDS	378				hypothetical protein
LEMGDAED_00278	CDS	300				hypothetical protein
LEMGDAED_00279	CDS	684	msrP_1	1.8.5.-	COG2041	Protein-methionine-sulfoxide reductase catalytic subunit MsrP
LEMGDAED_00280	CDS	258				hypothetical protein
LEMGDAED_00281	CDS	405	epi	5.1.99.-	COG0346	Ethylmalonyl-CoA/methylmalonyl-CoA epimerase
LEMGDAED_00282	CDS	153	clpX_1		COG1219	ATP-dependent Clp protease ATP-binding subunit ClpX
LEMGDAED_00283	CDS	156				hypothetical protein
LEMGDAED_00284	CDS	675				hypothetical protein
LEMGDAED_00285	CDS	336				hypothetical protein
LEMGDAED_00286	CDS	105				hypothetical protein
LEMGDAED_00287	CDS	528				hypothetical protein
LEMGDAED_00288	CDS	369				hypothetical protein
LEMGDAED_00289	CDS	768	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
LEMGDAED_00290	CDS	279				hypothetical protein
LEMGDAED_00291	CDS	465	lrp_1		COG1522	Leucine-responsive regulatory protein
LEMGDAED_00292	CDS	546	pheT_1	6.1.1.20	COG0072	Phenylalanine--tRNA ligase beta subunit
LEMGDAED_00293	CDS	231				hypothetical protein
LEMGDAED_00294	CDS	783			COG2199	putative signaling protein
LEMGDAED_00295	CDS	264				hypothetical protein
LEMGDAED_00296	CDS	381				hypothetical protein
LEMGDAED_00297	CDS	108				hypothetical protein
LEMGDAED_00298	CDS	279				hypothetical protein
LEMGDAED_00299	CDS	117				hypothetical protein
LEMGDAED_00300	CDS	291				hypothetical protein
LEMGDAED_00301	CDS	387				hypothetical protein
LEMGDAED_00302	CDS	309	rpsJ		COG0051	30S ribosomal protein S10
LEMGDAED_00303	CDS	183				hypothetical protein
LEMGDAED_00304	CDS	264				hypothetical protein
LEMGDAED_00305	CDS	420				hypothetical protein
LEMGDAED_00306	CDS	900	acs_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
LEMGDAED_00307	CDS	369				hypothetical protein
LEMGDAED_00308	CDS	810				hypothetical protein
LEMGDAED_00309	CDS	273				hypothetical protein
LEMGDAED_00310	CDS	180				hypothetical protein
LEMGDAED_00311	CDS	336				hypothetical protein
LEMGDAED_00312	CDS	366	ade	3.5.4.2	COG1001	Adenine deaminase
LEMGDAED_00313	CDS	561	comC_1	1.1.1.338	COG2055	(2R)-3-sulfolactate dehydrogenase (NADP(+))
LEMGDAED_00314	CDS	693	gci_1	5.5.1.27	COG4948	D-galactarolactone cycloisomerase
LEMGDAED_00315	CDS	471	hepA_1		COG1132	Heterocyst differentiation ATP-binding protein HepA
LEMGDAED_00316	CDS	1011	alx		COG0861	Putative membrane-bound redox modulator Alx
LEMGDAED_00317	CDS	483				hypothetical protein
LEMGDAED_00318	CDS	345				hypothetical protein
LEMGDAED_00319	CDS	1062				hypothetical protein
LEMGDAED_00320	tRNA	77				tRNA-Arg(ccg)
LEMGDAED_00321	CDS	567				hypothetical protein
LEMGDAED_00322	CDS	99				hypothetical protein
LEMGDAED_00323	CDS	285				hypothetical protein
LEMGDAED_00324	CDS	453	murD_1	6.3.2.9	COG0771	UDP-N-acetylmuramoylalanine--D-glutamate ligase
LEMGDAED_00325	CDS	255				hypothetical protein
LEMGDAED_00326	CDS	300	frmR		COG1937	Transcriptional repressor FrmR
LEMGDAED_00327	CDS	192				hypothetical protein
LEMGDAED_00328	CDS	294				hypothetical protein
LEMGDAED_00329	CDS	642				hypothetical protein
LEMGDAED_00330	CDS	213				hypothetical protein
LEMGDAED_00331	CDS	168				hypothetical protein
LEMGDAED_00332	CDS	258				hypothetical protein
LEMGDAED_00333	CDS	207				hypothetical protein
LEMGDAED_00334	CDS	273		1.18.1.2	COG0492	Ferredoxin--NADP reductase
LEMGDAED_00335	CDS	141				hypothetical protein
LEMGDAED_00336	CDS	300				hypothetical protein
LEMGDAED_00337	CDS	528				hypothetical protein
LEMGDAED_00338	CDS	237				hypothetical protein
LEMGDAED_00339	CDS	261				hypothetical protein
LEMGDAED_00340	CDS	354				hypothetical protein
LEMGDAED_00341	CDS	690	cnbH_1	3.5.99.5		2-amino-5-chloromuconic acid deaminase
LEMGDAED_00342	CDS	213	cspA_1		COG1278	Cold shock protein CspA
LEMGDAED_00343	CDS	399				hypothetical protein
LEMGDAED_00344	CDS	195	argC_1	1.2.1.38		N-acetyl-gamma-glutamyl-phosphate reductase
LEMGDAED_00345	CDS	162				hypothetical protein
LEMGDAED_00346	CDS	477				hypothetical protein
LEMGDAED_00347	CDS	309				hypothetical protein
LEMGDAED_00348	CDS	210				hypothetical protein
LEMGDAED_00349	CDS	105				hypothetical protein
LEMGDAED_00350	CDS	240				hypothetical protein
LEMGDAED_00351	CDS	384	flu		COG3468	Antigen 43
LEMGDAED_00352	CDS	228				hypothetical protein
LEMGDAED_00353	CDS	153				hypothetical protein
LEMGDAED_00354	CDS	282	prsA	5.2.1.8		Foldase protein PrsA
LEMGDAED_00355	CDS	231				hypothetical protein
LEMGDAED_00356	CDS	516				hypothetical protein
LEMGDAED_00357	CDS	360	rplC_1		COG0087	50S ribosomal protein L3
LEMGDAED_00358	CDS	228				hypothetical protein
LEMGDAED_00359	CDS	240				hypothetical protein
LEMGDAED_00360	CDS	852	sad	1.2.1.16		Succinate-semialdehyde dehydrogenase
LEMGDAED_00361	CDS	690				hypothetical protein
LEMGDAED_00362	CDS	324				hypothetical protein
LEMGDAED_00363	CDS	285				hypothetical protein
LEMGDAED_00364	CDS	180				hypothetical protein
LEMGDAED_00365	CDS	639				hypothetical protein
LEMGDAED_00366	CDS	957	gbuA	3.5.3.7	COG0010	Guanidinobutyrase
LEMGDAED_00367	CDS	327				hypothetical protein
LEMGDAED_00368	CDS	192				hypothetical protein
LEMGDAED_00369	CDS	261				hypothetical protein
LEMGDAED_00370	CDS	570				hypothetical protein
LEMGDAED_00371	CDS	120				hypothetical protein
LEMGDAED_00372	CDS	315	solA	1.5.3.-		N-methyl-L-tryptophan oxidase
LEMGDAED_00373	CDS	159				hypothetical protein
LEMGDAED_00374	CDS	249				hypothetical protein
LEMGDAED_00375	CDS	432				hypothetical protein
LEMGDAED_00376	CDS	249				hypothetical protein
LEMGDAED_00377	CDS	267				hypothetical protein
LEMGDAED_00378	CDS	210				hypothetical protein
LEMGDAED_00379	CDS	111				hypothetical protein
LEMGDAED_00380	CDS	273	gph_1	3.1.3.18		Phosphoglycolate phosphatase
LEMGDAED_00381	CDS	255				hypothetical protein
LEMGDAED_00382	CDS	459				hypothetical protein
LEMGDAED_00383	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II
LEMGDAED_00384	CDS	291				hypothetical protein
LEMGDAED_00385	CDS	177				hypothetical protein
LEMGDAED_00386	CDS	165				hypothetical protein
LEMGDAED_00387	CDS	126				hypothetical protein
LEMGDAED_00388	CDS	327				hypothetical protein
LEMGDAED_00389	CDS	516	glnQ_1			Glutamine transport ATP-binding protein GlnQ
LEMGDAED_00390	CDS	513	oppF_1		COG4608	Oligopeptide transport ATP-binding protein OppF
LEMGDAED_00391	CDS	330				hypothetical protein
LEMGDAED_00392	CDS	249				hypothetical protein
LEMGDAED_00393	CDS	105				hypothetical protein
LEMGDAED_00394	CDS	264				hypothetical protein
LEMGDAED_00395	CDS	429				hypothetical protein
LEMGDAED_00396	CDS	195				hypothetical protein
LEMGDAED_00397	CDS	129				hypothetical protein
LEMGDAED_00398	CDS	396	ycfH_1	3.1.-.-	COG0084	putative metal-dependent hydrolase YcfH
LEMGDAED_00399	CDS	261				hypothetical protein
LEMGDAED_00400	CDS	228				hypothetical protein
LEMGDAED_00401	CDS	405				hypothetical protein
LEMGDAED_00402	CDS	252	paaH	1.1.1.-	COG1250	3-hydroxyadipyl-CoA dehydrogenase
LEMGDAED_00403	CDS	255				hypothetical protein
LEMGDAED_00404	CDS	252				hypothetical protein
LEMGDAED_00405	CDS	426	hmgA	1.13.11.5	COG3508	Homogentisate 1,2-dioxygenase
LEMGDAED_00406	CDS	222	osmX		COG1732	Osmoprotectant-binding protein OsmX
LEMGDAED_00407	CDS	480				hypothetical protein
LEMGDAED_00408	CDS	237				hypothetical protein
LEMGDAED_00409	CDS	132	imuB_1			Protein ImuB
LEMGDAED_00410	CDS	282	livF_2		COG0410	High-affinity branched-chain amino acid transport ATP-binding protein LivF
LEMGDAED_00411	CDS	132	ntrC_1		COG2204	DNA-binding transcriptional regulator NtrC
LEMGDAED_00412	CDS	210				hypothetical protein
LEMGDAED_00413	CDS	513				hypothetical protein
LEMGDAED_00414	CDS	219				hypothetical protein
LEMGDAED_00415	CDS	138				hypothetical protein
LEMGDAED_00416	CDS	303				hypothetical protein
LEMGDAED_00417	CDS	264	rpsU_1		COG0828	30S ribosomal protein S21
LEMGDAED_00418	CDS	174				hypothetical protein
LEMGDAED_00419	CDS	246				hypothetical protein
LEMGDAED_00420	CDS	309				hypothetical protein
LEMGDAED_00421	CDS	144				hypothetical protein
LEMGDAED_00422	CDS	150				hypothetical protein
LEMGDAED_00423	CDS	135				hypothetical protein
LEMGDAED_00424	CDS	204				hypothetical protein
LEMGDAED_00425	CDS	180	gsiD_1		COG1173	Glutathione transport system permease protein GsiD
LEMGDAED_00426	CDS	186				hypothetical protein
LEMGDAED_00427	CDS	234	rpmE_1		COG0254	50S ribosomal protein L31
LEMGDAED_00428	CDS	177				hypothetical protein
LEMGDAED_00429	CDS	387				hypothetical protein
LEMGDAED_00430	CDS	267				hypothetical protein
LEMGDAED_00431	CDS	168	rpmG_1		COG0267	50S ribosomal protein L33
LEMGDAED_00432	CDS	261				hypothetical protein
LEMGDAED_00433	CDS	285				hypothetical protein
LEMGDAED_00434	CDS	255				hypothetical protein
LEMGDAED_00435	CDS	90				hypothetical protein
LEMGDAED_00436	CDS	414	atm1_1		COG5265	ATM1-type heavy metal exporter
LEMGDAED_00437	CDS	264				hypothetical protein
LEMGDAED_00438	CDS	195				hypothetical protein
LEMGDAED_00439	CDS	180	argJ_1			Arginine biosynthesis bifunctional protein ArgJ
LEMGDAED_00440	CDS	231				hypothetical protein
LEMGDAED_00441	CDS	168	mutB_1	5.4.99.2	COG1884	putative methylmalonyl-CoA mutase large subunit
LEMGDAED_00442	CDS	234				hypothetical protein
LEMGDAED_00443	CDS	198				hypothetical protein
LEMGDAED_00444	CDS	339				hypothetical protein
